id;dial_id;dial;active_alert_id;dial_consumption;bucket_id;bucketdate;contract_status;contract_date;sim_num;vol_status_flag;apn_name;soft_disconnect;bill_cycle;m_2_m_monitoring_service
1;5d8c8978-fb2d-473b-8b76-77c9e476db50;Grocery Wooden;94158;91473;95783;2022-05-09;green firmware;2022-05-09;generating;Accounts Computer Branding;maroon neural;gold Djibouti;19804;Practical system-worthy
2;55eec8a0-1c51-4b3c-96bb-f44ea4f68a1b;Up-sized;24370;11200;43125;2022-05-08;PCI parse navigate;2022-05-08;Bike Martinique;one-to-one transform;Mills Account Steel;wireless models Iowa;76248;Ergonomic
3;e65a0f56-30e7-47ff-b823-684ff63793ad;Gloves quantify;66513;73447;20831;2022-05-08;extensible;2022-05-08;payment yellow;Kenyan input Total;Functionality;Handmade;56372;Automotive Hollow
4;ceb434d0-ed5e-4155-b852-cb73d8f527a0;Herzegovina scalable Bike;5685;4082;55885;2022-05-09;Factors;2022-05-09;eyeballs Ohio Account;Pizza;Integration;SMTP neural;57282;Cambridgeshire Sri
5;f9244215-aad5-4cd8-91ac-e13876a21517;Ball Fresh capacitor;46041;39566;71668;2022-05-08;azure Tuvalu;2022-05-08;Port;background e-business;Kansas 24/7;Steel Intranet;2029;Salad Bahamas American
6;f43fbbc6-ae3e-42f7-8bd9-7efff3cc9e9d;Account Berkshire Fish;63020;92947;7528;2022-05-08;panel copy Phased;2022-05-08;envisioneer Developer;Self-enabling generating backing;plum online;Market Cambridgeshire capacitor;62609;IB unleash Agent
7;bbdd4f18-65e1-429b-92b7-3772ff7b6478;navigate red;5352;80044;93253;2022-05-08;architectures Dynamic Computer;2022-05-08;Buckinghamshire Re-engineered Rubber;Cambridgeshire Wyoming Investor;Cheese intuitive mission-critical;invoice;93406;leading Plastic
8;3747bf8a-30c2-45f8-9a68-8d20501374dd;Central;53826;43202;57297;2022-05-08;Soft multi-byte;2022-05-08;Alabama groupware Uzbekistan;Kina;value-added;Cross-group Bedfordshire;35700;killer navigate Gloves
9;9112b339-35a3-45f1-9b04-39b573dde96c;withdrawal;6302;55710;34727;2022-05-09;copying GB Ports;2022-05-08;Chips Malta;Personal supply-chains;Wells Dynamic;bypassing open-source;19256;Michigan Checking Cambridgeshire
10;869ae926-afd5-40da-95bf-28f7e84215db;Shirt;92840;82486;82798;2022-05-09;e-business Licensed;2022-05-08;Rial Small;Money Tasty Intelligent;Manat;programming;34801;stable
